datetime,tdry,rh,pres,wspd,theta,specific_humidity
0,10.041424286493365,76.9217869461916,993.1000954371932,1.503958371137066,283.7596620968915,0.006032799140338121
1,9.394268359517719,79.12311381183777,992.8512833394227,1.4289870295761782,283.13163145232005,0.005979897373748629
2,8.95227879577387,80.15339287192708,992.709681428966,1.5312862535972747,282.70042054046587,0.005887850327630974
3,8.51949737642456,81.186997147381,992.611166344472,1.4960278008202155,282.27488666574607,0.005789585118945043
4,8.216385742000552,81.73273003536889,992.5354287556415,1.510794878847748,281.9771866602192,0.0057205905650732245
5,8.010672245659372,82.03573202161118,992.6876494390289,1.5205306234982527,281.75842214548464,0.005670759999439029
6,8.113455868767273,81.37572784337571,992.9973143541552,1.5506495301105583,281.8364635793256,0.0056861902383637366
7,8.967857142690384,78.3955669827682,993.3302204928665,1.4773994812034463,282.6660998035946,0.005789437019455253
8,10.430882626339285,73.42418155096726,993.6575520833334,1.5269345238774181,284.10593533854166,0.005906002310909599
9,12.516820916520128,67.00541878898659,993.8948079592782,1.7334104580823693,286.1763927931513,0.0060592044234150854
10,14.884500185738132,59.65760849100519,993.988079566951,1.940940281884273,288.5396418629451,0.006197753228171365
11,16.8308422523034,53.155276874080975,993.7314378780829,2.1315821312805956,290.50957748906467,0.006178266794006514
12,18.204089151132806,48.244147171670654,993.2063593617609,2.290619819402284,291.92857187972004,0.006038590344372812
13,19.070040729982413,45.19576043719337,992.6375034666297,2.4448393965324446,292.84360299268724,0.005954201231195038
14,19.52020980337913,43.68063497957668,992.2017313405125,2.5690586706646865,293.3314041589306,0.005899694918427404
15,19.667045663029526,43.37675133091876,991.9492160232899,2.575582248267926,293.5002543829085,0.0058872268568769485
16,19.36815647555068,44.49999085942784,991.8389909560369,2.5610684580751304,293.2105689543917,0.0059296507196234345
17,18.513604385564182,47.87914115970763,991.8820740063957,2.5393467335906807,292.35129685609866,0.006063430423736867
18,17.041923882491123,53.295442956022946,992.1167258490394,2.3010516252044066,290.85744899936265,0.006197968533715742
19,15.336294208600782,59.32737521620147,992.4544231293753,1.9053777616192382,289.1198800009092,0.006305287736276025
20,13.832462686494358,64.53449672260648,992.8114033491081,1.7329313796723698,287.5828361976702,0.006338320308673098
21,12.565366031616374,68.96974655629501,993.1189853222719,1.5776506518278786,286.2874558291549,0.006303802065220166
22,11.56631406179099,72.2244026965165,993.2358061280321,1.5132637242567937,285.27658482947294,0.006220076797984681
23,10.715724043934426,74.8491803295082,993.2395901639344,1.500391621161202,284.4238824526412,0.006127351842058287
